Comunidad autónoma de residencia	Tipo de dato	Gastos totales, medios, distribución e índice	Periodo	Total
03 Asturias, Principado de	Variación respecto al año base	Índice sobre la media del gmp	2010	""
03 Asturias, Principado de	Variación respecto al año base	Índice sobre la media del gmp	2009	""
03 Asturias, Principado de	Variación respecto al año base	Índice sobre la media del gmp	2008	""
03 Asturias, Principado de	Variación respecto al año base	Índice sobre la media del gmp	2007	""
03 Asturias, Principado de	Variación respecto al año base	Índice sobre la media del gmp	2006	""
04 Balears, Illes	Dato base	Gasto total	2020	13.327.205,74
04 Balears, Illes	Dato base	Gasto total	2019	15.238.612,28
04 Balears, Illes	Dato base	Gasto total	2018	15.001.199,46
04 Balears, Illes	Dato base	Gasto total	2017	14.518.667,49
04 Balears, Illes	Dato base	Gasto total	2016	14.036.869,21
04 Balears, Illes	Dato base	Gasto total	2015	13.120.291,03
04 Balears, Illes	Dato base	Gasto total	2014	12.768.285,84
04 Balears, Illes	Dato base	Gasto total	2013	12.159.880,15
04 Balears, Illes	Dato base	Gasto total	2012	12.311.104,59
04 Balears, Illes	Dato base	Gasto total	2011	12.427.411,33
04 Balears, Illes	Dato base	Gasto total	2010	12.443.446,2
04 Balears, Illes	Dato base	Gasto total	2009	12.476.245,26
04 Balears, Illes	Dato base	Gasto total	2008	13.488.694,97
04 Balears, Illes	Dato base	Gasto total	2007	13.788.409,78
04 Balears, Illes	Dato base	Gasto total	2006	11.944.521,64
04 Balears, Illes	Dato base	Distribución porcentual	2020	2,62
04 Balears, Illes	Dato base	Distribución porcentual	2019	2,69
04 Balears, Illes	Dato base	Distribución porcentual	2018	2,7
04 Balears, Illes	Dato base	Distribución porcentual	2017	2,69
04 Balears, Illes	Dato base	Distribución porcentual	2016	2,7
04 Balears, Illes	Dato base	Distribución porcentual	2015	2,6
04 Balears, Illes	Dato base	Distribución porcentual	2014	2,58
04 Balears, Illes	Dato base	Distribución porcentual	2013	2,46
04 Balears, Illes	Dato base	Distribución porcentual	2012	2,41
04 Balears, Illes	Dato base	Distribución porcentual	2011	2,38
04 Balears, Illes	Dato base	Distribución porcentual	2010	2,39
04 Balears, Illes	Dato base	Distribución porcentual	2009	2,37
04 Balears, Illes	Dato base	Distribución porcentual	2008	2,49
04 Balears, Illes	Dato base	Distribución porcentual	2007	2,61
04 Balears, Illes	Dato base	Distribución porcentual	2006	2,44
04 Balears, Illes	Dato base	Gasto medio por hogar	2020	28.618,46
04 Balears, Illes	Dato base	Gasto medio por hogar	2019	33.125,73
04 Balears, Illes	Dato base	Gasto medio por hogar	2018	33.076,31
04 Balears, Illes	Dato base	Gasto medio por hogar	2017	32.398,28
04 Balears, Illes	Dato base	Gasto medio por hogar	2016	31.437,73
04 Balears, Illes	Dato base	Gasto medio por hogar	2015	29.445,36
04 Balears, Illes	Dato base	Gasto medio por hogar	2014	28.799,78
04 Balears, Illes	Dato base	Gasto medio por hogar	2013	27.717,69
04 Balears, Illes	Dato base	Gasto medio por hogar	2012	28.497,38
04 Balears, Illes	Dato base	Gasto medio por hogar	2011	29.206,2
04 Balears, Illes	Dato base	Gasto medio por hogar	2010	29.641,49
04 Balears, Illes	Dato base	Gasto medio por hogar	2009	30.164,33
04 Balears, Illes	Dato base	Gasto medio por hogar	2008	33.425,77
04 Balears, Illes	Dato base	Gasto medio por hogar	2007	35.439,54
04 Balears, Illes	Dato base	Gasto medio por hogar	2006	32.063,89
04 Balears, Illes	Dato base	Gasto medio por persona	2020	11.004,46
04 Balears, Illes	Dato base	Gasto medio por persona	2019	12.765,75
04 Balears, Illes	Dato base	Gasto medio por persona	2018	12.824,11
04 Balears, Illes	Dato base	Gasto medio por persona	2017	12.700,75
04 Balears, Illes	Dato base	Gasto medio por persona	2016	12.427,86
04 Balears, Illes	Dato base	Gasto medio por persona	2015	11.704,04
04 Balears, Illes	Dato base	Gasto medio por persona	2014	11.466,38
04 Balears, Illes	Dato base	Gasto medio por persona	2013	10.983,93
04 Balears, Illes	Dato base	Gasto medio por persona	2012	11.213,45
04 Balears, Illes	Dato base	Gasto medio por persona	2011	11.414,51
04 Balears, Illes	Dato base	Gasto medio por persona	2010	11.513,59
04 Balears, Illes	Dato base	Gasto medio por persona	2009	11.647,74
04 Balears, Illes	Dato base	Gasto medio por persona	2008	12.838,14
04 Balears, Illes	Dato base	Gasto medio por persona	2007	13.537,16
04 Balears, Illes	Dato base	Gasto medio por persona	2006	12.173,17
04 Balears, Illes	Dato base	Gasto medio por unidad de consumo	2020	16.487,53
04 Balears, Illes	Dato base	Gasto medio por unidad de consumo	2019	19.170,02
04 Balears, Illes	Dato base	Gasto medio por unidad de consumo	2018	19.238,66
04 Balears, Illes	Dato base	Gasto medio por unidad de consumo	2017	18.995,14
04 Balears, Illes	Dato base	Gasto medio por unidad de consumo	2016	18.548,2
04 Balears, Illes	Dato base	Gasto medio por unidad de consumo	2015	17.452,64
04 Balears, Illes	Dato base	Gasto medio por unidad de consumo	2014	17.080,51
04 Balears, Illes	Dato base	Gasto medio por unidad de consumo	2013	16.407,1
04 Balears, Illes	Dato base	Gasto medio por unidad de consumo	2012	16.766,25
04 Balears, Illes	Dato base	Gasto medio por unidad de consumo	2011	17.098,57
04 Balears, Illes	Dato base	Gasto medio por unidad de consumo	2010	17.286,57
04 Balears, Illes	Dato base	Gasto medio por unidad de consumo	2009	17.493,13
04 Balears, Illes	Dato base	Gasto medio por unidad de consumo	2008	19.331,14
04 Balears, Illes	Dato base	Gasto medio por unidad de consumo	2007	20.383,7
04 Balears, Illes	Dato base	Gasto medio por unidad de consumo	2006	18.390,53
04 Balears, Illes	Dato base	Índice sobre la media del gmp	2020	101,44
04 Balears, Illes	Dato base	Índice sobre la media del gmp	2019	105,05
04 Balears, Illes	Dato base	Índice sobre la media del gmp	2018	106,7
04 Balears, Illes	Dato base	Índice sobre la media del gmp	2017	108,31
04 Balears, Illes	Dato base	Índice sobre la media del gmp	2016	109,86
04 Balears, Illes	Dato base	Índice sobre la media del gmp	2015	106,58
04 Balears, Illes	Dato base	Índice sobre la media del gmp	2014	106,37
04 Balears, Illes	Dato base	Índice sobre la media del gmp	2013	102,5
04 Balears, Illes	Dato base	Índice sobre la media del gmp	2012	101,83
04 Balears, Illes	Dato base	Índice sobre la media del gmp	2011	101,18
04 Balears, Illes	Dato base	Índice sobre la media del gmp	2010	102,11
04 Balears, Illes	Dato base	Índice sobre la media del gmp	2009	101,82
04 Balears, Illes	Dato base	Índice sobre la media del gmp	2008	107,93
04 Balears, Illes	Dato base	Índice sobre la media del gmp	2007	115,14
04 Balears, Illes	Dato base	Índice sobre la media del gmp	2006	109,39
04 Balears, Illes	Variación respecto al año anterior	Gasto total	2020	-12,5
04 Balears, Illes	Variación respecto al año anterior	Gasto total	2019	1,6
04 Balears, Illes	Variación respecto al año anterior	Gasto total	2018	3,3
04 Balears, Illes	Variación respecto al año anterior	Gasto total	2017	3,4
04 Balears, Illes	Variación respecto al año anterior	Gasto total	2016	7
04 Balears, Illes	Variación respecto al año anterior	Gasto total	2015	2,8
04 Balears, Illes	Variación respecto al año anterior	Gasto total	2014	5
04 Balears, Illes	Variación respecto al año anterior	Gasto total	2013	-1,2
04 Balears, Illes	Variación respecto al año anterior	Gasto total	2012	-0,9
04 Balears, Illes	Variación respecto al año anterior	Gasto total	2011	-0,1
04 Balears, Illes	Variación respecto al año anterior	Gasto total	2010	-0,3
04 Balears, Illes	Variación respecto al año anterior	Gasto total	2009	-7,5
04 Balears, Illes	Variación respecto al año anterior	Gasto total	2008	-2,2
04 Balears, Illes	Variación respecto al año anterior	Gasto total	2007	15,4
04 Balears, Illes	Variación respecto al año anterior	Gasto total	2006	""
04 Balears, Illes	Variación respecto al año anterior	Distribución porcentual	2020	""
04 Balears, Illes	Variación respecto al año anterior	Distribución porcentual	2019	""
04 Balears, Illes	Variación respecto al año anterior	Distribución porcentual	2018	""
04 Balears, Illes	Variación respecto al año anterior	Distribución porcentual	2017	""
04 Balears, Illes	Variación respecto al año anterior	Distribución porcentual	2016	""
04 Balears, Illes	Variación respecto al año anterior	Distribución porcentual	2015	""
04 Balears, Illes	Variación respecto al año anterior	Distribución porcentual	2014	""
04 Balears, Illes	Variación respecto al año anterior	Distribución porcentual	2013	""
04 Balears, Illes	Variación respecto al año anterior	Distribución porcentual	2012	""
04 Balears, Illes	Variación respecto al año anterior	Distribución porcentual	2011	""
04 Balears, Illes	Variación respecto al año anterior	Distribución porcentual	2010	""
04 Balears, Illes	Variación respecto al año anterior	Distribución porcentual	2009	""
04 Balears, Illes	Variación respecto al año anterior	Distribución porcentual	2008	""
04 Balears, Illes	Variación respecto al año anterior	Distribución porcentual	2007	""
04 Balears, Illes	Variación respecto al año anterior	Distribución porcentual	2006	""
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por hogar	2020	-13,6
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por hogar	2019	0,1
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por hogar	2018	2,1
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por hogar	2017	3,1
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por hogar	2016	6,8
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por hogar	2015	2,2
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por hogar	2014	3,9
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por hogar	2013	-2,7
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por hogar	2012	-2,4
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por hogar	2011	-1,5
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por hogar	2010	-1,7
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por hogar	2009	-9,8
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por hogar	2008	-5,7
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por hogar	2007	10,5
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por hogar	2006	""
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por persona	2020	-13,8
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por persona	2019	-0,5
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por persona	2018	1
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por persona	2017	2,2
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por persona	2016	6,2
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por persona	2015	2,1
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por persona	2014	4,4
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por persona	2013	-2
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por persona	2012	-1,8
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por persona	2011	-0,9
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por persona	2010	-1,2
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por persona	2009	-9,3
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por persona	2008	-5,2
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por persona	2007	11,2
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por persona	2006	""
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por unidad de consumo	2020	-14
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por unidad de consumo	2019	-0,4
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por unidad de consumo	2018	1,3
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por unidad de consumo	2017	2,4
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por unidad de consumo	2016	6,3
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por unidad de consumo	2015	2,2
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por unidad de consumo	2014	4,1
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por unidad de consumo	2013	-2,1
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por unidad de consumo	2012	-1,9
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por unidad de consumo	2011	-1,1
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por unidad de consumo	2010	-1,2
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por unidad de consumo	2009	-9,5
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por unidad de consumo	2008	-5,2
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por unidad de consumo	2007	10,8
04 Balears, Illes	Variación respecto al año anterior	Gasto medio por unidad de consumo	2006	""
04 Balears, Illes	Variación respecto al año anterior	Índice sobre la media del gmp	2020	""
04 Balears, Illes	Variación respecto al año anterior	Índice sobre la media del gmp	2019	""
04 Balears, Illes	Variación respecto al año anterior	Índice sobre la media del gmp	2018	""
04 Balears, Illes	Variación respecto al año anterior	Índice sobre la media del gmp	2017	""
04 Balears, Illes	Variación respecto al año anterior	Índice sobre la media del gmp	2016	""
04 Balears, Illes	Variación respecto al año anterior	Índice sobre la media del gmp	2015	""
04 Balears, Illes	Variación respecto al año anterior	Índice sobre la media del gmp	2014	""
04 Balears, Illes	Variación respecto al año anterior	Índice sobre la media del gmp	2013	""
04 Balears, Illes	Variación respecto al año anterior	Índice sobre la media del gmp	2012	""
04 Balears, Illes	Variación respecto al año anterior	Índice sobre la media del gmp	2011	""
04 Balears, Illes	Variación respecto al año anterior	Índice sobre la media del gmp	2010	""
04 Balears, Illes	Variación respecto al año anterior	Índice sobre la media del gmp	2009	""
04 Balears, Illes	Variación respecto al año anterior	Índice sobre la media del gmp	2008	""
04 Balears, Illes	Variación respecto al año anterior	Índice sobre la media del gmp	2007	""
04 Balears, Illes	Variación respecto al año anterior	Índice sobre la media del gmp	2006	""
04 Balears, Illes	Variación respecto al año base	Gasto total	2020	11,6
04 Balears, Illes	Variación respecto al año base	Gasto total	2019	27,6
04 Balears, Illes	Variación respecto al año base	Gasto total	2018	25,6
04 Balears, Illes	Variación respecto al año base	Gasto total	2017	21,6
04 Balears, Illes	Variación respecto al año base	Gasto total	2016	17,5
04 Balears, Illes	Variación respecto al año base	Gasto total	2015	9,8
04 Balears, Illes	Variación respecto al año base	Gasto total	2014	6,9
04 Balears, Illes	Variación respecto al año base	Gasto total	2013	1,8
04 Balears, Illes	Variación respecto al año base	Gasto total	2012	3,1
04 Balears, Illes	Variación respecto al año base	Gasto total	2011	4
04 Balears, Illes	Variación respecto al año base	Gasto total	2010	4,2
04 Balears, Illes	Variación respecto al año base	Gasto total	2009	4,5
04 Balears, Illes	Variación respecto al año base	Gasto total	2008	12,9
04 Balears, Illes	Variación respecto al año base	Gasto total	2007	15,4
04 Balears, Illes	Variación respecto al año base	Gasto total	2006	""
04 Balears, Illes	Variación respecto al año base	Distribución porcentual	2020	""
04 Balears, Illes	Variación respecto al año base	Distribución porcentual	2019	""
04 Balears, Illes	Variación respecto al año base	Distribución porcentual	2018	""
04 Balears, Illes	Variación respecto al año base	Distribución porcentual	2017	""
04 Balears, Illes	Variación respecto al año base	Distribución porcentual	2016	""
04 Balears, Illes	Variación respecto al año base	Distribución porcentual	2015	""
04 Balears, Illes	Variación respecto al año base	Distribución porcentual	2014	""
04 Balears, Illes	Variación respecto al año base	Distribución porcentual	2013	""
04 Balears, Illes	Variación respecto al año base	Distribución porcentual	2012	""
04 Balears, Illes	Variación respecto al año base	Distribución porcentual	2011	""
04 Balears, Illes	Variación respecto al año base	Distribución porcentual	2010	""
04 Balears, Illes	Variación respecto al año base	Distribución porcentual	2009	""
04 Balears, Illes	Variación respecto al año base	Distribución porcentual	2008	""
04 Balears, Illes	Variación respecto al año base	Distribución porcentual	2007	""
04 Balears, Illes	Variación respecto al año base	Distribución porcentual	2006	""
04 Balears, Illes	Variación respecto al año base	Gasto medio por hogar	2020	-10,7
04 Balears, Illes	Variación respecto al año base	Gasto medio por hogar	2019	3,3
04 Balears, Illes	Variación respecto al año base	Gasto medio por hogar	2018	3,2
04 Balears, Illes	Variación respecto al año base	Gasto medio por hogar	2017	1
04 Balears, Illes	Variación respecto al año base	Gasto medio por hogar	2016	-2
04 Balears, Illes	Variación respecto al año base	Gasto medio por hogar	2015	-8,2
04 Balears, Illes	Variación respecto al año base	Gasto medio por hogar	2014	-10,2
04 Balears, Illes	Variación respecto al año base	Gasto medio por hogar	2013	-13,6
04 Balears, Illes	Variación respecto al año base	Gasto medio por hogar	2012	-11,1
04 Balears, Illes	Variación respecto al año base	Gasto medio por hogar	2011	-8,9
04 Balears, Illes	Variación respecto al año base	Gasto medio por hogar	2010	-7,6
04 Balears, Illes	Variación respecto al año base	Gasto medio por hogar	2009	-5,9
04 Balears, Illes	Variación respecto al año base	Gasto medio por hogar	2008	4,2
04 Balears, Illes	Variación respecto al año base	Gasto medio por hogar	2007	10,5
04 Balears, Illes	Variación respecto al año base	Gasto medio por hogar	2006	""
04 Balears, Illes	Variación respecto al año base	Gasto medio por persona	2020	-9,6
04 Balears, Illes	Variación respecto al año base	Gasto medio por persona	2019	4,9
04 Balears, Illes	Variación respecto al año base	Gasto medio por persona	2018	5,3
04 Balears, Illes	Variación respecto al año base	Gasto medio por persona	2017	4,3
04 Balears, Illes	Variación respecto al año base	Gasto medio por persona	2016	2,1
04 Balears, Illes	Variación respecto al año base	Gasto medio por persona	2015	-3,9
04 Balears, Illes	Variación respecto al año base	Gasto medio por persona	2014	-5,8
04 Balears, Illes	Variación respecto al año base	Gasto medio por persona	2013	-9,8
04 Balears, Illes	Variación respecto al año base	Gasto medio por persona	2012	-7,9
04 Balears, Illes	Variación respecto al año base	Gasto medio por persona	2011	-6,2
04 Balears, Illes	Variación respecto al año base	Gasto medio por persona	2010	-5,4
04 Balears, Illes	Variación respecto al año base	Gasto medio por persona	2009	-4,3
04 Balears, Illes	Variación respecto al año base	Gasto medio por persona	2008	5,5
04 Balears, Illes	Variación respecto al año base	Gasto medio por persona	2007	11,2
04 Balears, Illes	Variación respecto al año base	Gasto medio por persona	2006	""
04 Balears, Illes	Variación respecto al año base	Gasto medio por unidad de consumo	2020	-10,3
04 Balears, Illes	Variación respecto al año base	Gasto medio por unidad de consumo	2019	4,2
04 Balears, Illes	Variación respecto al año base	Gasto medio por unidad de consumo	2018	4,6
04 Balears, Illes	Variación respecto al año base	Gasto medio por unidad de consumo	2017	3,3
04 Balears, Illes	Variación respecto al año base	Gasto medio por unidad de consumo	2016	0,9
04 Balears, Illes	Variación respecto al año base	Gasto medio por unidad de consumo	2015	-5,1
04 Balears, Illes	Variación respecto al año base	Gasto medio por unidad de consumo	2014	-7,1
04 Balears, Illes	Variación respecto al año base	Gasto medio por unidad de consumo	2013	-10,8
04 Balears, Illes	Variación respecto al año base	Gasto medio por unidad de consumo	2012	-8,8
04 Balears, Illes	Variación respecto al año base	Gasto medio por unidad de consumo	2011	-7
04 Balears, Illes	Variación respecto al año base	Gasto medio por unidad de consumo	2010	-6
04 Balears, Illes	Variación respecto al año base	Gasto medio por unidad de consumo	2009	-4,9
04 Balears, Illes	Variación respecto al año base	Gasto medio por unidad de consumo	2008	5,1
04 Balears, Illes	Variación respecto al año base	Gasto medio por unidad de consumo	2007	10,8
04 Balears, Illes	Variación respecto al año base	Gasto medio por unidad de consumo	2006	""
04 Balears, Illes	Variación respecto al año base	Índice sobre la media del gmp	2020	""
04 Balears, Illes	Variación respecto al año base	Índice sobre la media del gmp	2019	""
04 Balears, Illes	Variación respecto al año base	Índice sobre la media del gmp	2018	""
04 Balears, Illes	Variación respecto al año base	Índice sobre la media del gmp	2017	""
04 Balears, Illes	Variación respecto al año base	Índice sobre la media del gmp	2016	""
04 Balears, Illes	Variación respecto al año base	Índice sobre la media del gmp	2015	""
04 Balears, Illes	Variación respecto al año base	Índice sobre la media del gmp	2014	""
04 Balears, Illes	Variación respecto al año base	Índice sobre la media del gmp	2013	""
04 Balears, Illes	Variación respecto al año base	Índice sobre la media del gmp	2012	""
04 Balears, Illes	Variación respecto al año base	Índice sobre la media del gmp	2011	""
04 Balears, Illes	Variación respecto al año base	Índice sobre la media del gmp	2010	""
04 Balears, Illes	Variación respecto al año base	Índice sobre la media del gmp	2009	""
04 Balears, Illes	Variación respecto al año base	Índice sobre la media del gmp	2008	""
04 Balears, Illes	Variación respecto al año base	Índice sobre la media del gmp	2007	""
04 Balears, Illes	Variación respecto al año base	Índice sobre la media del gmp	2006	""
05 Canarias	Dato base	Gasto total	2020	18.851.254,66
05 Canarias	Dato base	Gasto total	2019	21.755.614,05
05 Canarias	Dato base	Gasto total	2018	20.431.249
05 Canarias	Dato base	Gasto total	2017	19.875.162,53
05 Canarias	Dato base	Gasto total	2016	19.387.013,95
05 Canarias	Dato base	Gasto total	2015	19.119.825,81
05 Canarias	Dato base	Gasto total	2014	18.809.621,78
05 Canarias	Dato base	Gasto total	2013	17.804.925,47
05 Canarias	Dato base	Gasto total	2012	18.167.960,41
05 Canarias	Dato base	Gasto total	2011	18.832.911,74
05 Canarias	Dato base	Gasto total	2010	18.678.246,35
05 Canarias	Dato base	Gasto total	2009	19.448.932,11
05 Canarias	Dato base	Gasto total	2008	20.245.710,54
05 Canarias	Dato base	Gasto total	2007	20.738.727,73
05 Canarias	Dato base	Gasto total	2006	18.967.618,99
05 Canarias	Dato base	Distribución porcentual	2020	3,71
05 Canarias	Dato base	Distribución porcentual	2019	3,84
05 Canarias	Dato base	Distribución porcentual	2018	3,67
05 Canarias	Dato base	Distribución porcentual	2017	3,68
05 Canarias	Dato base	Distribución porcentual	2016	3,73
05 Canarias	Dato base	Distribución porcentual	2015	3,79
05 Canarias	Dato base	Distribución porcentual	2014	3,79
05 Canarias	Dato base	Distribución porcentual	2013	3,6
05 Canarias	Dato base	Distribución porcentual	2012	3,56
05 Canarias	Dato base	Distribución porcentual	2011	3,61
05 Canarias	Dato base	Distribución porcentual	2010	3,59
05 Canarias	Dato base	Distribución porcentual	2009	3,7
05 Canarias	Dato base	Distribución porcentual	2008	3,73
05 Canarias	Dato base	Distribución porcentual	2007	3,93
05 Canarias	Dato base	Distribución porcentual	2006	3,87
05 Canarias	Dato base	Gasto medio por hogar	2020	21.844,35
05 Canarias	Dato base	Gasto medio por hogar	2019	25.389,65
05 Canarias	Dato base	Gasto medio por hogar	2018	24.124,8
05 Canarias	Dato base	Gasto medio por hogar	2017	23.918,51
05 Canarias	Dato base	Gasto medio por hogar	2016	23.638,36
05 Canarias	Dato base	Gasto medio por hogar	2015	23.426,08
05 Canarias	Dato base	Gasto medio por hogar	2014	23.178,86
05 Canarias	Dato base	Gasto medio por hogar	2013	22.122,91
05 Canarias	Dato base	Gasto medio por hogar	2012	22.882,78
05 Canarias	Dato base	Gasto medio por hogar	2011	24.114,8
05 Canarias	Dato base	Gasto medio por hogar	2010	24.443,94
05 Canarias	Dato base	Gasto medio por hogar	2009	26.002,13
05 Canarias	Dato base	Gasto medio por hogar	2008	27.745,62
05 Canarias	Dato base	Gasto medio por hogar	2007	29.407,01
05 Canarias	Dato base	Gasto medio por hogar	2006	27.941,45
05 Canarias	Dato base	Gasto medio por persona	2020	8.453,97
05 Canarias	Dato base	Gasto medio por persona	2019	9.851,5
05 Canarias	Dato base	Gasto medio por persona	2018	9.404,89
05 Canarias	Dato base	Gasto medio por persona	2017	9.304,26
05 Canarias	Dato base	Gasto medio por persona	2016	9.158,94
05 Canarias	Dato base	Gasto medio por persona	2015	9.029,94
05 Canarias	Dato base	Gasto medio por persona	2014	8.926,23
05 Canarias	Dato base	Gasto medio por persona	2013	8.485,48
05 Canarias	Dato base	Gasto medio por persona	2012	8.726,05
05 Canarias	Dato base	Gasto medio por persona	2011	9.129,53
05 Canarias	Dato base	Gasto medio por persona	2010	9.145,41
05 Canarias	Dato base	Gasto medio por persona	2009	9.611,2
05 Canarias	Dato base	Gasto medio por persona	2008	10.127,76
05 Canarias	Dato base	Gasto medio por persona	2007	10.590,43
05 Canarias	Dato base	Gasto medio por persona	2006	9.919,32
05 Canarias	Dato base	Gasto medio por unidad de consumo	2020	12.584,77
05 Canarias	Dato base	Gasto medio por unidad de consumo	2019	14.672,27
05 Canarias	Dato base	Gasto medio por unidad de consumo	2018	13.990,95
05 Canarias	Dato base	Gasto medio por unidad de consumo	2017	13.880,98
05 Canarias	Dato base	Gasto medio por unidad de consumo	2016	13.693,91
05 Canarias	Dato base	Gasto medio por unidad de consumo	2015	13.514,87
05 Canarias	Dato base	Gasto medio por unidad de consumo	2014	13.379,14
05 Canarias	Dato base	Gasto medio por unidad de consumo	2013	12.729,56
05 Canarias	Dato base	Gasto medio por unidad de consumo	2012	13.146,19
05 Canarias	Dato base	Gasto medio por unidad de consumo	2011	13.771,64
05 Canarias	Dato base	Gasto medio por unidad de consumo	2010	13.857,48
05 Canarias	Dato base	Gasto medio por unidad de consumo	2009	14.603,81
05 Canarias	Dato base	Gasto medio por unidad de consumo	2008	15.452,57
05 Canarias	Dato base	Gasto medio por unidad de consumo	2007	16.235,8
05 Canarias	Dato base	Gasto medio por unidad de consumo	2006	15.277,49
05 Canarias	Dato base	Índice sobre la media del gmp	2020	77,93
05 Canarias	Dato base	Índice sobre la media del gmp	2019	81,07
05 Canarias	Dato base	Índice sobre la media del gmp	2018	78,25
05 Canarias	Dato base	Índice sobre la media del gmp	2017	79,34
05 Canarias	Dato base	Índice sobre la media del gmp	2016	80,96
05 Canarias	Dato base	Índice sobre la media del gmp	2015	82,23
05 Canarias	Dato base	Índice sobre la media del gmp	2014	82,8
05 Canarias	Dato base	Índice sobre la media del gmp	2013	79,19
05 Canarias	Dato base	Índice sobre la media del gmp	2012	79,24
05 Canarias	Dato base	Índice sobre la media del gmp	2011	80,93
05 Canarias	Dato base	Índice sobre la media del gmp	2010	81,11
05 Canarias	Dato base	Índice sobre la media del gmp	2009	84,02
05 Canarias	Dato base	Índice sobre la media del gmp	2008	85,14
05 Canarias	Dato base	Índice sobre la media del gmp	2007	90,07
05 Canarias	Dato base	Índice sobre la media del gmp	2006	89,14
05 Canarias	Variación respecto al año anterior	Gasto total	2020	-13,3
05 Canarias	Variación respecto al año anterior	Gasto total	2019	6,5
05 Canarias	Variación respecto al año anterior	Gasto total	2018	2,8
05 Canarias	Variación respecto al año anterior	Gasto total	2017	2,5
05 Canarias	Variación respecto al año anterior	Gasto total	2016	1,4
05 Canarias	Variación respecto al año anterior	Gasto total	2015	1,6
05 Canarias	Variación respecto al año anterior	Gasto total	2014	5,6
05 Canarias	Variación respecto al año anterior	Gasto total	2013	-2
05 Canarias	Variación respecto al año anterior	Gasto total	2012	-3,5
05 Canarias	Variación respecto al año anterior	Gasto total	2011	0,8
05 Canarias	Variación respecto al año anterior	Gasto total	2010	-4
05 Canarias	Variación respecto al año anterior	Gasto total	2009	-3,9
05 Canarias	Variación respecto al año anterior	Gasto total	2008	-2,4
05 Canarias	Variación respecto al año anterior	Gasto total	2007	9,3
05 Canarias	Variación respecto al año anterior	Gasto total	2006	""
05 Canarias	Variación respecto al año anterior	Distribución porcentual	2020	""
05 Canarias	Variación respecto al año anterior	Distribución porcentual	2019	""
05 Canarias	Variación respecto al año anterior	Distribución porcentual	2018	""
05 Canarias	Variación respecto al año anterior	Distribución porcentual	2017	""
05 Canarias	Variación respecto al año anterior	Distribución porcentual	2016	""
05 Canarias	Variación respecto al año anterior	Distribución porcentual	2015	""
05 Canarias	Variación respecto al año anterior	Distribución porcentual	2014	""
05 Canarias	Variación respecto al año anterior	Distribución porcentual	2013	""
05 Canarias	Variación respecto al año anterior	Distribución porcentual	2012	""
05 Canarias	Variación respecto al año anterior	Distribución porcentual	2011	""
05 Canarias	Variación respecto al año anterior	Distribución porcentual	2010	""
05 Canarias	Variación respecto al año anterior	Distribución porcentual	2009	""
05 Canarias	Variación respecto al año anterior	Distribución porcentual	2008	""
05 Canarias	Variación respecto al año anterior	Distribución porcentual	2007	""
05 Canarias	Variación respecto al año anterior	Distribución porcentual	2006	""
